Sno,Candidate,Constituency,Party,Result,Criminal Cases,Cases details(convicted),Cases details(accused),Serious IPC Detail,Other IPC Detail,Education,Movable Assets,Immovable Assets,Total Assets,Liabilities,PAN Given (Y or N)  
363,R MUNIRAME GOWDA,Chikkaballapur,SP,L,0,No Cases ,No Cases,,,10th,171000,1200000,1371000,300000,N 
364,K P BACHCHE GOWDA,Chikkaballapur,JD(S),W,0,No Cases ,No Cases,,,graduate,2460443,14166000,16626443,678478,N 
365,P S PRAKASH,Chikkaballapur,BJP,L,0,No Cases ,No Cases,,,graduate,1387415,12500000,13887415,0,Y 
366,M SOMASHEKAR,Chikkaballapur,IND,L,0,No Cases ,No Cases,,,10th,200000,20000,220000,68468,N 
367,K V VENKATESH,Chikkaballapur,IND,L,0,No Cases ,No Cases,,,not_given,40000,0,40000,0,N 
368,BACHCHA REDDY,Chikkaballapur,IND,L,0,No Cases ,No Cases,,,literate,65000,0,65000,0,N 
369,S V ASHWATANARAYANA REDDY,Chikkaballapur,INC,L,0,No Cases ,No Cases,,,not_given,200000,510000,710000,0,N 
370,MEHABOOB PASHA,Chikkaballapur,BSP,L,1,No Cases ,"(1):IPC Sections -  498-A,307IPC,3&4of D.P. Act, Sec 407, 341, 420 of IPC , Other Details - I ACCM Mayohall, Bangalore JMTC court, Kolar case No.CR 0267/05and CC 277/07 and court date is 19.10.2005 
","1 charges related to Attempt to murder (IPC Section-307) 
","1 charges related to  wrongful restraint (IPC Section-341) 
1 charges related to Cheating and dishonestly inducing delivery of property (IPC Section-420) 
1 charges related to Husband or relative of husband of a woman subjecting her to cruelty (IPC Section-498A) 
1 charges related to Punishment of offences committed beyond, but which by law may be tried within, India (IPC Section-3) 
1 charges related to Criminal breach of trust by carrier, etc. (IPC Section-407) 
",not_given,1350000,300000,1650000,0,N 
371,V NAGARAJ,Chikkaballapur,IND,L,0,No Cases ,No Cases,,,10th,79000,450000,529000,700000,N 
372,K NAGARAJ,Chikkaballapur,IND,L,0,No Cases ,No Cases,,,graduate,3276153,7530000,10806153,996000,N 
373,VEERASING ABASAB GHORPADE,Chikkodi-Sadalga,BSP,L,0,No Cases ,No Cases,,,12th,82000,10100000,10182000,138000,N 
374,RAVINDRA APPASAB MALI,Chikkodi-Sadalga,SP,L,0,No Cases ,No Cases,,,5th,1100000,2000000,3100000,652008,Y 
375,HUKKERI PRAKASH BABANNA,Chikkodi-Sadalga,INC,W,0,No Cases ,No Cases,,,10th,3575051,15414425,18989476,1551553,Y 
376,KORE KIRAN GANAPATARAO,Chikkodi-Sadalga,JD(S),L,0,No Cases ,No Cases,,,graduate_professional,5765060,10500000,16265060,814457,Y 
377,JIGAJINAGI RAMESH CHANDAPPA,Chikkodi-Sadalga,BJP,L,0,No Cases ,No Cases,,,graduate,1849725,10404000,12253725,3902460,Y 
378,RAVI B HAMPANNAWAR,Chikkodi-Sadalga,RAHS,L,0,No Cases ,No Cases,,,graduate,3865520,11000000,14865520,781836,Y 
379,C.T RAVI,Chikmagalur,BJP,W,5,No Cases ,"(1):IPC Sections -  143, 145, 153A, 504, 149 , Other Details - C.C.No.-2017/03 
(2):IPC Sections -  143, 144, 145, 147, 148, 504, 149 , Other Details - C.C.No.-2119/03 
(3):IPC Sections -  323, 341 , Other Details - 3(1)(10) SC.ST Act,Spl Case No.-8/2005 
(4):IPC Sections -  143, 504, 153A, 295A,149 , Other Details - C.C.No.-4277/03 
(5):IPC Sections -  153A, 341 , Other Details - C.C.No.-5195/03 
","3 charges related to Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony (IPC Section-153A) 
1 charges related to Deliberate and malicious acts, intended to outrage religious feelings or any class by insulting its religion or religious beliefs (IPC Section-295A) 
","3 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
3 charges related to Punishment (IPC Section-143) 
3 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
2 charges related to  wrongful restraint (IPC Section-341) 
2 charges related to Joining or continuing in unlawful assembly, knowing it has been commanded to disperse (IPC Section-145) 
1 charges related to Joining unlawful assembly armed with deadly weapon (IPC Section-144) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
1 charges related to  voluntarily causing hurt (IPC Section-323) 
",graduate,1843000,78788562,80631562,4642274,N 
380,B.AMJAD,Chikmagalur,CPI,L,0,No Cases ,No Cases,,,post_graduate,67126,600000,667126,146000,N 
381,J.B.UMESH CHANDRA,Chikmagalur,RAHS,L,0,No Cases ,No Cases,,,graduate,2000,80000,82000,0,N 
382,H.G.THEJAMURTHY,Chikmagalur,IND,L,0,No Cases ,No Cases,,,5th,70000,0,70000,0,N 
383,S.L.BHOJEGOWDA,Chikmagalur,JD(S),L,0,No Cases ,No Cases,,,graduate_professional,3793506,20900000,24693506,3647479,N 
384,PARASMAL.M,Chikmagalur,IND,L,0,No Cases ,No Cases,,,12th,170000,1900000,2070000,150000,Y 
385,COMRADE K.C.DHARMESH,Chikmagalur,IND,L,0,No Cases ,No Cases,,,10th,260000,1100000,1360000,280000,N 
386,K.B.MALLIKARJUNA,Chikmagalur,INC,L,0,No Cases ,No Cases,,,graduate_professional,12415332,16871100,29286432,5621881,N 
387,M.K.PRASANNA KUMAR,Chikmagalur,BSP,L,0,No Cases ,No Cases,,,graduate,1272000,3600000,4872000,1250000,Y 
388,DR SHIVAJI NAYAK,Chikmagalur,SP,L,0,No Cases ,No Cases,,,post_graduate,470000,2600000,3070000,204000,Y 
389,D. JAYANNA GOWDA,Chiknayakanhalli,IND,L,0,No Cases ,No Cases,,,12th,25000,270000,295000,30000,N 
390,J.C. MADHUSWAMY,Chiknayakanhalli,JD(U),L,0,No Cases ,No Cases,,,post_graduate,3337014,0,3337014,2494400,N 
391,ANANTHAIAH,Chiknayakanhalli,SP,L,0,No Cases ,No Cases,,,graduate,285000,2900000,3185000,932500,N 
392,SUNIL VALLYAPUR,Chincholi,BJP,W,0,No Cases ,No Cases,,,12th,2236427,7365000,9601427,812511,Y 
393,SHANKAR BAYYA,Chincholi,BSP,L,0,No Cases ,No Cases,,,12th,460000,1575000,2035000,0,N 
394,S.H.HOSAMANI,Chincholi,SP,L,0,No Cases ,No Cases,,,post_graduate,52000,0,52000,20000,N 
395,SHAMRAO,Chincholi,IND,L,0,No Cases ,No Cases,,,10th,50000,0,50000,0,N 
396,BABURAO CHAUHAN,Chincholi,INC,L,0,No Cases ,No Cases,,,graduate,9310000,34875000,44185000,615000,Y 
397,MALLIKARJUN GAJRE,Chincholi,IND,L,0,No Cases ,No Cases,,,5th,5767400,4920000,10687400,0,N 
398,MANIK,Chincholi,IND,L,0,No Cases ,No Cases,,,illiterate,123000,850000,973000,25000,N 
399,RAVI.G.MANTH,Chincholi,IND,L,0,No Cases ,No Cases,,,10th,120000,1300000,1420000,400000,N 
400,GOPALRAO KATTIMANI,Chincholi,JD(S),L,0,No Cases ,No Cases,,,graduate,612000,3000000,3612000,0,N 
401,SHIVUKUMAR KOLLUR,Chincholi,IND,L,0,No Cases ,No Cases,,,12th,50000,0,50000,0,N 
402,BASVARAJ ANWARKAR,Chincholi,IND,L,0,No Cases ,No Cases,,,post_graduate,15000,520000,535000,0,N 
403,DHULAPPA HODEBEERNALLI,Chincholi,IND,L,0,No Cases ,No Cases,,,not_given,72000,500000,572000,400000,N 
404,K M KRISHNA REDDY,Chintamani,JD(S),L,0,No Cases ,No Cases,,,graduate_professional,940000,5060000,6000000,0,N 
405,N C KRISHNA REDDY,Chintamani,IND,L,0,No Cases ,No Cases,,,10th,290000,0,290000,0,N 
406,VENKATARAVANA,Chintamani,IND,L,0,No Cases ,No Cases,,,10th,110000,0,110000,0,N 
407,SATHYANARAYANA MAHESH,Chintamani,BJP,L,0,No Cases ,No Cases,,,graduate,662500,3100000,3762500,0,N 
408,SUDHAKAR REDDY,Chintamani,IND,L,0,No Cases ,No Cases,,,10th,50000,50000,100000,0,N 
409,C R VENKATESH,Chintamani,IND,L,0,No Cases ,No Cases,,,12th,110000,0,110000,0,N 
410,M C SUDHAKAR,Chintamani,INC,W,0,No Cases ,No Cases,,,post_graduate,26300458,35099830,61400288,3593329,Y 
411,G S SUDHAKAR REDDY,Chintamani,IND,L,0,No Cases ,No Cases,,,graduate_professional,180000,0,180000,0,N 
412,N MUNISWAMY,Chintamani,BSP,L,0,No Cases ,No Cases,,,12th,100000,2100000,2200000,0,N 
413,G.S.MANJUNATHA,Chitradurga,BJP,L,0,No Cases ,No Cases,,,12th,12768125,42490000,55258125,3083754,Y 
414,S SRIDEVI KRISHANAMURTHY,Chitradurga,SUP,L,0,No Cases ,No Cases,,,12th,281000,400000,681000,60000,N 
415,S.SHIVAPRAKASH,Chitradurga,JD(U),L,1,No Cases ,"(1):IPC Sections -  333,304,420,R/W , Other Details - Court J.M.F.C, Hosadurga, Case No.332/2007, Date 05-10-2007 
","1 charges related to  culpable homicide not amounting to murder (IPC Section-304) 
","1 charges related to Voluntarily causing grievous hurt to deter public servant from his duty (IPC Section-333) 
1 charges related to Cheating and dishonestly inducing delivery of property (IPC Section-420) 
",graduate,1329689,17200000,18529689,12216176,Y 
416,BASAVARAJAN,Chitradurga,JD(S),W,2,No Cases ,"(1):IPC Sections -  500, 501, 502   , Other Details - C C No 239/95 
(2):IPC Sections -  500, 501, 502  , Other Details - C C No 918/94 
",,"2 charges related to  defamation (IPC Section-500) 
2 charges related to Printing or engraving matter known to be defamatory (IPC Section-501) 
2 charges related to Sale of printed or engraved substance containing defamatory matter (IPC Section-502) 
",graduate,400000,2700000,3100000,0,Y 
417,S M SADANANDAIAH,Chitradurga,IND,L,0,No Cases ,No Cases,,,post_graduate,285002,9000000,9285002,315200,Y 
418,KOTLA RAMALINGAREDDY,Chitradurga,IND,L,0,No Cases ,No Cases,,,graduate,279000,1325000,1604000,400000,N 
419,G.H.THIPPAREDDY,Chitradurga,INC,L,0,No Cases ,No Cases,,,12th,7196412,64024900,71221312,379000,Y 
420,MOHAMED NASIRUDDIN T R,Chitradurga,BSP,L,0,No Cases ,No Cases,,,post_graduate,545000,2275000,2820000,80000,N 
